psi_1,psi_2,y2
0.632613,0.620701,-26.3814
0.632332,0.620505,-26.475
0.632044,0.620311,-26.5685
0.631856,0.62012,-26.6621
0.631589,0.619928,-26.7556
0.631293,0.619736,-26.8491
0.630986,0.619546,-26.9426
0.630771,0.619359,-27.036
0.630483,0.619172,-27.1294
0.63017,0.618985,-27.2228
0.629849,0.618801,-27.3162
0.629526,0.618618,-27.4095
0.629287,0.618439,-27.5029
0.628986,0.618261,-27.5962
0.628665,0.618083,-27.6894
0.628338,0.617908,-27.7827
0.62801,0.617735,-27.8759
